action;search_column_idx;value;term;cat;adv;bra;prd;cln_0;cln_1;cln_2;cln_3;cln_4;cln_5
upd;2;ВЯЗАНКА;"""col_2"": ""ВЯЗАНКА""";конкурент;;ВЯЗАНКА;производитель;;;;;;
upd;2;САМОКАТ (ДОСТАВКА);"""col_2"": ""САМОКАТ (ДОСТАВКА)""";конкурент;;САМОКАТ (ДОСТАВКА);ритейлер;;;;;;
upd;2;ЛЕНТА;"""col_2"": ""ЛЕНТА""";конкурент;;ЛЕНТА;ритейлер;;;;;;
upd;2;GLOBUS;"""col_2"": ""GLOBUS""";конкурент;;GLOBUS;ритейлер;;;;;;
upd;2;АШАН;"""col_2"": ""АШАН""";конкурент;;АШАН;ритейлер;;;;;;
upd;2;METRO CHEF;"""col_2"": ""METRO CHEF""";конкурент;;METRO CHEF;производитель;;;;;;
upd;2;БОБРОВСКИЙ МЯСОКОМБИНАТ;"""col_2"": ""БОБРОВСКИЙ МЯСОКОМБИНАТ""";конкурент;;БОБРОВСКИЙ МЯСОКОМБИНАТ;производитель;;;;;;
upd;2;СЛАВНАЯ МАРКА;"""col_2"": ""СЛАВНАЯ МАРКА""";конкурент;;СЛАВНАЯ МАРКА;производитель;;;;;;
upd;2;ВЕЛИКОЛУКСКИЙ МЯСОКОМБИНАТ;"""col_2"": ""ВЕЛИКОЛУКСКИЙ МЯСОКОМБИНАТ""";конкурент;;ВЕЛИКОЛУКСКИЙ МЯСОКОМБИНАТ;производитель;;;;;;
upd;2;ЦАРИЦЫНО;"""col_2"": ""ЦАРИЦЫНО""";конкурент;;ЦАРИЦЫНО;производитель;;;;;;
upd;2;БРЯНСКИЙ МЯСОКОМБИНАТ;"""col_2"": ""БРЯНСКИЙ МЯСОКОМБИНАТ""";конкурент;;БРЯНСКИЙ МЯСОКОМБИНАТ;производитель;;;;;;
